iter	Passed	Remaining
0	2	2122
1	7	3812
2	12	4306
3	14	3570
4	15	3048
5	16	2677
6	16	2403
7	17	2201
8	24	2662
9	25	2520
10	26	2377
11	27	2252
12	28	2142
13	29	2046
14	30	1971
15	30	1896
16	31	1832
17	32	1774
18	43	2251
19	47	2348
20	60	2831
21	61	2752
22	63	2688
23	64	2623
24	70	2740
25	71	2664
26	72	2596
27	73	2534
28	73	2472
29	74	2409
30	75	2350
31	76	2301
32	77	2258
33	78	2222
34	79	2187
35	87	2337
36	89	2330
37	90	2298
38	92	2269
39	93	2238
40	94	2214
41	100	2291
42	101	2263
43	102	2236
44	105	2229
45	105	2197
46	106	2161
47	107	2127
48	107	2094
49	108	2063
50	109	2032
51	109	2003
52	113	2030
53	114	2009
54	116	1998
55	117	1982
56	118	1960
57	119	1936
58	119	1912
59	120	1888
60	121	1866
61	121	1844
62	122	1822
63	123	1802
64	123	1782
65	124	1763
66	129	1805
67	130	1793
68	131	1778
69	132	1765
70	133	1749
71	134	1733
72	135	1718
73	136	1703
74	136	1689
75	137	1675
76	138	1664
77	145	1720
78	146	1711
79	147	1701
80	150	1704
81	151	1694
82	151	1677
83	152	1667
84	153	1655
85	154	1642
86	155	1630
87	156	1625
88	157	1615
89	159	1608
90	159	1597
91	160	1587
92	161	1578
93	163	1572
94	164	1565
95	165	1559
96	166	1550
97	171	1574
98	172	1568
99	173	1558
100	174	1548
101	174	1539
102	175	1528
103	176	1517
104	176	1507
105	177	1499
106	178	1489
107	179	1479
108	179	1469
109	180	1460
110	181	1450
111	181	1441
112	185	1456
113	186	1451
114	187	1443
115	188	1437
116	189	1429
117	190	1421
118	191	1414
119	191	1407
120	192	1399
121	193	1390
122	193	1382
123	194	1374
124	195	1365
125	195	1357
126	196	1349
127	198	1351
128	199	1350
129	200	1343
130	201	1337
131	202	1330
132	203	1324
133	203	1317
134	205	1314
135	205	1307
136	206	1300
137	207	1293
138	207	1287
139	208	1280
140	209	1273
141	209	1266
142	210	1259
143	212	1261
144	213	1257
145	214	1251
146	214	1246
147	215	1241
148	216	1236
149	217	1231
150	217	1225
151	218	1219
152	219	1214
153	219	1208
154	220	1202
155	221	1197
156	221	1191
157	222	1185
158	226	1197
159	227	1195
160	228	1189
161	229	1184
162	230	1181
163	230	1177
164	231	1172
165	232	1167
166	233	1162
167	233	1157
168	234	1152
169	235	1147
170	235	1142
171	236	1137
172	237	1133
173	237	1129
174	240	1132
175	241	1129
176	242	1125
177	242	1121
178	243	1118
179	244	1114
180	245	1109
181	245	1105
182	246	1100
183	247	1096
184	247	1091
185	248	1087
186	249	1083
187	249	1079
188	250	1075
189	251	1071
190	253	1075
191	254	1072
192	255	1069
193	256	1067
194	257	1063
195	258	1059
196	259	1055
197	259	1051
198	260	1047
199	260	1043
200	261	1039
201	262	1035
202	262	1032
203	264	1031
204	267	1038
205	268	1036
206	269	1033
207	270	1031
208	272	1032
209	274	1032
210	276	1032
211	277	1029
212	278	1028
213	279	1024
214	284	1039
215	286	1039
216	287	1036
217	288	1034
218	289	1031
219	290	1028
220	291	1029
221	293	1027
222	293	1024
223	300	1041
224	301	1039
225	302	1036
226	303	1032
227	303	1029
228	304	1025
229	305	1022
230	306	1019
231	307	1016
232	307	1013
233	308	1010
234	311	1013
235	312	1013
236	314	1011
237	315	1009
238	316	1006
239	316	1003
240	317	1000
241	318	998
242	319	995
243	320	992
244	321	990
245	322	987
246	323	984
247	324	982
248	328	991
249	330	990
250	332	992
251	339	1008
252	345	1019
253	346	1016
254	347	1014
255	347	1011
256	348	1008
257	349	1005
258	350	1003
259	351	1000
260	352	998
261	353	995
262	354	993
263	355	990
264	361	1002
265	363	1002
266	364	1000
267	366	999
268	366	996
269	367	994
270	368	991
271	369	989
272	370	986
273	373	990
274	377	996
275	379	994
276	380	992
277	381	989
278	382	987
279	382	984
280	383	982
281	384	979
282	391	991
283	392	989
284	393	988
285	395	986
286	396	983
287	396	981
288	397	978
289	398	975
290	399	972
291	400	970
292	401	969
293	402	966
294	403	963
295	403	960
296	404	957
297	405	955
298	406	952
299	407	950
300	408	948
301	409	946
302	410	943
303	411	941
304	412	939
305	414	941
306	416	940
307	417	938
308	418	936
309	421	937
310	422	935
311	427	943
312	430	945
313	431	943
314	432	941
315	433	938
316	434	936
317	435	934
318	436	932
319	437	929
320	438	927
321	439	924
322	439	921
323	440	919
324	441	917
325	446	923
326	447	921
327	449	921
328	451	920
329	451	917
330	452	914
331	453	911
332	453	909
333	454	906
334	455	903
335	456	901
336	456	898
337	457	895
338	461	899
339	464	901
340	465	899
341	466	897
342	467	895
343	468	892
344	468	890
345	469	888
346	470	885
347	471	882
348	471	880
349	475	883
350	478	885
351	480	884
352	481	881
353	481	879
354	482	877
355	483	875
356	484	873
357	485	870
358	486	868
359	493	876
360	494	874
361	495	872
362	496	871
363	497	869
364	499	868
365	499	866
366	500	863
367	501	861
368	505	865
369	507	864
370	508	862
371	509	860
372	510	857
373	510	854
374	511	852
375	512	849
376	513	847
377	513	845
378	514	842
379	515	840
380	515	837
381	516	835
382	519	836
383	521	836
384	522	834
385	523	832
386	524	830
387	525	828
388	526	826
389	526	823
390	527	821
391	528	819
392	528	816
393	529	814
394	530	812
395	530	809
396	531	807
397	535	809
398	536	808
399	537	806
400	538	804
401	539	802
402	540	800
403	541	799
404	542	797
405	543	795
406	544	793
407	545	791
408	546	789
409	552	794
410	554	794
411	556	794
412	557	792
413	558	790
414	559	788
415	560	786
416	560	783
417	561	781
418	566	785
419	567	783
420	568	782
421	570	781
422	571	779
423	572	777
424	573	775
425	574	773
426	575	771
427	575	769
428	579	770
429	581	770
430	582	768
431	585	770
432	587	768
433	588	767
434	590	766
435	591	765
436	593	764
437	595	763
438	596	761
439	597	760
440	598	758
441	599	757
442	600	755
443	601	753
444	602	751
445	603	749
446	604	747
447	605	746
448	606	744
449	607	742
450	608	740
451	609	738
452	610	737
453	612	736
454	613	735
455	614	733
456	616	731
457	617	730
458	620	731
459	621	730
460	623	728
461	624	726
462	624	724
463	625	722
464	626	721
465	627	719
466	628	717
467	629	715
468	630	714
469	633	714
470	636	714
471	637	713
472	638	711
473	640	710
474	641	709
475	643	707
476	643	706
477	644	704
478	647	704
479	649	703
480	650	701
481	651	699
482	652	698
483	652	696
484	653	694
485	654	692
486	655	690
487	656	688
488	657	686
489	658	684
490	658	683
491	659	681
492	662	681
493	663	680
494	665	678
495	666	677
496	668	676
497	669	675
498	671	673
499	672	672
500	672	670
501	673	668
502	677	669
503	678	668
504	680	666
505	682	666
506	683	664
507	684	662
508	685	661
509	686	659
510	686	657
511	689	657
512	692	657
513	693	655
514	694	654
515	695	652
516	696	650
517	698	649
518	699	647
519	699	646
520	700	644
521	702	642
522	705	643
523	707	642
524	709	641
525	710	640
526	712	639
527	714	638
528	714	636
529	715	634
530	716	633
531	722	635
532	724	634
533	727	635
534	729	633
535	730	632
536	732	631
537	739	635
538	741	634
539	742	632
540	743	630
541	744	629
542	745	627
543	746	625
544	747	623
545	752	626
546	754	624
547	755	623
548	757	622
549	760	622
550	763	621
551	768	623
552	771	623
553	773	622
554	774	620
555	775	619
556	777	618
557	781	618
558	791	624
559	807	634
560	813	636
561	817	637
562	819	636
563	820	634
564	822	633
565	823	631
566	824	629
567	825	627
568	829	628
569	832	627
570	833	626
571	834	624
572	835	622
573	836	621
574	838	619
575	839	617
576	840	615
577	842	615
578	843	613
579	845	612
580	846	610
581	848	609
582	848	607
583	849	605
584	850	603
585	851	601
586	852	600
587	853	598
588	854	596
589	854	594
590	855	592
591	856	590
592	858	589
593	859	587
594	860	585
595	861	583
596	861	581
597	862	579
598	862	577
599	863	575
600	864	573
601	865	571
602	865	570
603	866	568
604	867	566
605	867	564
606	868	562
607	869	560
608	871	559
609	872	558
610	873	556
611	874	554
612	875	552
613	876	550
614	877	549
615	878	547
616	881	546
617	882	545
618	883	543
619	885	542
620	887	541
621	888	539
622	889	538
623	890	536
624	891	534
625	892	533
626	894	532
627	895	530
628	897	529
629	898	527
630	901	527
631	909	529
632	913	529
633	917	529
634	918	527
635	918	525
636	919	524
637	920	522
638	921	520
639	922	518
640	923	516
641	924	515
642	925	513
643	926	511
644	927	510
645	927	508
646	928	506
647	929	504
648	934	505
649	935	503
650	936	501
651	937	500
652	938	498
653	939	497
654	940	495
655	941	493
656	942	491
657	942	490
658	943	488
659	944	486
660	946	485
661	947	483
662	949	482
663	950	480
664	951	479
665	952	477
666	952	475
667	953	474
668	954	472
669	955	470
670	956	468
671	957	467
672	960	466
673	963	466
674	965	464
675	966	463
676	967	461
677	968	459
678	969	458
679	970	456
680	971	455
681	976	455
682	978	453
683	979	452
684	980	450
685	981	449
686	981	447
687	982	445
688	983	443
689	984	442
690	985	440
691	986	439
692	989	438
693	991	437
694	993	435
695	993	434
696	994	432
697	995	430
698	996	429
699	997	427
700	999	426
701	1000	424
702	1004	424
703	1006	423
704	1007	421
705	1008	420
706	1009	418
707	1010	416
708	1011	415
709	1012	413
710	1012	411
711	1013	410
712	1014	408
713	1015	406
714	1016	405
715	1020	404
716	1022	403
717	1023	401
718	1024	400
719	1025	398
720	1026	397
721	1027	395
722	1028	394
723	1034	394
724	1036	393
725	1037	391
726	1039	390
727	1040	388
728	1041	387
729	1042	385
730	1062	390
731	1073	393
732	1074	391
733	1076	389
734	1076	388
735	1077	386
736	1080	385
737	1082	384
738	1083	382
739	1084	381
740	1085	379
741	1086	377
742	1086	375
743	1088	374
744	1088	372
745	1089	371
746	1090	369
747	1091	367
748	1092	366
749	1093	364
750	1096	363
751	1097	361
752	1098	360
753	1099	358
754	1100	357
755	1101	355
756	1102	353
757	1103	352
758	1104	350
759	1104	348
760	1107	347
761	1109	346
762	1110	345
763	1111	343
764	1112	341
765	1113	340
766	1113	338
767	1114	336
768	1115	335
769	1116	333
770	1117	331
771	1118	330
772	1119	328
773	1120	327
774	1122	325
775	1123	324
776	1124	322
777	1124	320
778	1125	319
779	1126	317
780	1127	316
781	1128	314
782	1129	312
783	1129	311
784	1130	309
785	1131	308
786	1132	306
787	1136	305
788	1138	304
789	1140	303
790	1141	301
791	1142	299
792	1142	298
793	1143	296
794	1144	295
795	1145	293
796	1146	292
797	1149	290
798	1151	289
799	1153	288
800	1154	286
801	1155	285
802	1157	283
803	1158	282
804	1159	280
805	1161	279
806	1167	279
807	1169	277
808	1170	276
809	1171	274
810	1172	273
811	1174	271
812	1187	273
813	1188	271
814	1195	271
815	1197	269
816	1198	268
817	1200	267
818	1201	265
819	1202	263
820	1203	262
821	1203	260
822	1204	259
823	1207	257
824	1208	256
825	1209	254
826	1210	253
827	1211	251
828	1212	250
829	1213	248
830	1214	247
831	1215	245
832	1216	243
833	1217	242
834	1220	241
835	1222	239
836	1223	238
837	1225	236
838	1226	235
839	1227	233
840	1228	232
841	1229	230
842	1230	229
843	1231	227
844	1232	226
845	1238	225
846	1239	223
847	1240	222
848	1241	220
849	1242	219
850	1243	217
851	1244	216
852	1245	214
853	1245	212
854	1246	211
855	1247	209
856	1252	209
857	1253	207
858	1254	205
859	1255	204
860	1257	202
861	1258	201
862	1259	199
863	1260	198
864	1261	196
865	1261	195
866	1262	193
867	1266	192
868	1267	191
869	1268	189
870	1269	188
871	1270	186
872	1271	185
873	1272	183
874	1273	181
875	1274	180
876	1275	178
877	1278	177
878	1280	176
879	1281	174
880	1282	173
881	1284	171
882	1285	170
883	1286	168
884	1287	167
885	1287	165
886	1288	164
887	1289	162
888	1290	161
889	1294	160
890	1296	158
891	1297	157
892	1298	155
893	1299	154
894	1300	152
895	1301	151
896	1302	149
897	1303	148
898	1308	147
899	1309	145
900	1313	144
901	1337	145
902	1341	144
903	1344	142
904	1344	141
905	1345	139
906	1346	138
907	1347	136
908	1348	134
909	1349	133
910	1350	131
911	1350	130
912	1351	128
913	1352	127
914	1352	125
915	1357	124
916	1358	122
917	1359	121
918	1360	119
919	1361	118
920	1361	116
921	1362	115
922	1363	113
923	1363	112
924	1364	110
925	1365	109
926	1365	107
927	1366	106
928	1366	104
929	1367	102
930	1370	101
931	1372	100
932	1372	98
933	1373	97
934	1374	95
935	1374	94
936	1375	92
937	1376	90
938	1377	89
939	1377	87
940	1378	86
941	1379	84
942	1380	83
943	1381	81
944	1381	80
945	1382	78
946	1385	77
947	1386	76
948	1387	74
949	1387	73
950	1388	71
951	1389	70
952	1389	68
953	1390	67
954	1391	65
955	1392	64
956	1392	62
957	1393	61
958	1394	59
959	1394	58
960	1395	56
961	1396	55
962	1396	53
